full_terms,domain_label_1,domain_label_2,domain_label_3,human_annotation,in_experiments
1-4 family rider,FS,FS,FS,FS,0
401,FS,FS,FS,FS,1
403,FS,FS,FS,FS,0
529 plan,FS,FS,FS,FS,0
Abandoned,FC,G,FC,FC,1
Abandonment,FC,G,FC,FC,1
Abatement,FC,FS,FS,,0
Ability to pay,FS,FC,FS,FS,1
Ability to repay,FS,FC,FS,,0
Abrogate,FC,G,G,,0
Absolute title,FS,FS,FS,FS,0
Abstract update,FC,FC,G,,0
Abusive practice,FC,FC,FC,FC,0
Academic program,G,G,G,G,0
Acceleration,FS,FS,FS,FS,0
Acceleration clause,FS,FS,FS,FS,0
Acceleration letter,FS,FS,FS,FS,0
Access,FC,G,FC,FC,1
Account,FS,FC,FS,FC,1
Account Review Inquiry,FS,FS,FS,FS,0
Accountant,FS,FC,FS,FS,1
Accrued,FS,FS,FS,FS,1
Acknowledgement,FC,G,FC,,0
Acknowledgement of receipt,FC,G,FC,,0
"Acknowledgement, certificate of",FC,G,FC,,0
Acquittal,FC,G,G,,0
Act,FC,G,FC,FC,1
Act of God,FC,FC,FC,FC,0
Action plan,FC,G,FC,,0
Active military duty,FC,G,FC,,0
Actual cash value,FS,FS,FS,FS,0
Add-on,FC,FC,FC,FC,0
Addendum,FC,G,FC,,0
Additional principal payment,FS,FS,FS,FS,0
Addressee,FC,G,FC,,0
Adjustable interest rate table,FS,FS,FS,FS,0
Adjustable payment table,FS,FS,FS,FS,0
Adjustable rate,FS,FS,FS,FS,0
Adjustable-rate mortgage,FS,FS,FS,FS,0
Adjustable-rate note,FS,FS,FS,FS,0
Adjustable-rate rider,FS,FS,FS,FS,0
Adjuster,FS,FC,FS,,0
Adjustment date,FS,FS,FS,FS,0
"Adjustment interval, adjustment period",FS,FS,FS,FS,0
Administration for Community Living,G,G,G,G,0
Administration on Aging,G,G,G,G,0
Administrative law judge,FC,G,FC,,0
Administrative order,FC,G,FC,FC,1
Administrative rule,FC,G,FC,,0
Adult Protective Services,G,G,G,G,0
Advance directive,FC,G,FC,,0
Adverse action,FS,FC,FS,FS,1
Advocacy group,G,G,G,G,0
Affidavit,FC,G,FC,FC,1
Affinity fraud,FS,FS,FS,FS,0
Affirmative step,FC,G,FC,,0
Afford,FC,FC,FC,FC,1
Affordability analysis,FS,FS,FS,FS,0
Affordability analyzer,FS,FS,FS,FS,0
Affordable,FC,FC,FC,FC,0
Affordable housing,FS,FC,FS,,0
Age Discrimination Act of 1975,FC,G,FC,,0
Age-friendly banking,FS,FS,FS,FS,0
Agency,FS,FC,FS,FC,1
Agent,FS,FC,FS,FC,1
Agreement,FS,G,FS,FC,1
Agreement of sale,FS,FC,FS,,0
Aid and Attendance,FC,G,FC,,0
Algorithmic bias,FC,G,FC,,0
Alien authorized to work,FC,G,FC,,0
Alimony,FS,FC,FS,FC,1
Allegation,FC,G,FC,,0
Allege,FC,G,FC,,0
Allocate,FC,FC,FS,FC,1
Allowable debt payment,FS,FS,FS,FS,0
"Altcoin, alternative coin",FS,FS,FS,FS,0
Alternate phone number,FC,G,FC,,0
Alternative financial service,FS,FS,FS,FS,0
Amendment,FC,G,FC,,0
America,G,G,G,G,1
American,G,G,G,G,1
American Bar Association Commission on Law,G,G,FC,,0
American dream,G,G,G,G,0
Americans with Disabilities Act,FC,G,FC,G,1
Amortization,FS,FS,FS,FS,1
Amortization schedule,FS,FS,FS,FS,0
Amortize,FS,FS,FS,FS,0
Amount,FC,FC,FS,FC,1
Amount financed,FS,FS,FS,FS,0
Annual fees,FS,FS,FS,FS,0
Annuity,FS,FS,FS,FS,1
Anti-Money Laundering,FS,FS,FS,FS,0
Anti-discrimination law,FC,G,FC,,0
Anti-discrimination provision,FC,G,FC,,0
Appeal,FC,G,FC,FC,1
Appellate section,FC,G,FC,,0
Applicable law,FC,G,FC,,0
Applicant,FC,FC,FS,,0
Application,FS,FC,FS,FC,1
Application fee,FS,FC,FS,,0
Apply,FC,G,FS,FC,1
Appraisal,FS,FC,FS,FS,1
Appraisal bias,FS,FC,FS,,0
Appraisal contingency,FS,FC,FS,,0
Appraisal report,FS,FC,FS,,0
Appraiser,FS,FC,FS,FS,1
Appreciate,FC,FC,FC,FC,0
Appreciation,FS,FC,FS,FC,1
Approved,FC,FC,FS,FC,1
Appurtenances,FC,G,FS,,0
Arbitration,FC,G,FC,,0
Area,FC,G,FC,FC,1
Area Agency on Aging,G,G,G,G,0
Area Median Income,FS,FC,FS,,0
Arm’s length transaction,FS,FS,FS,FS,0
"Arrears, arrearage",FS,FS,FS,FS,0
Arrest warrant,FC,G,FC,,0
Asbestos,FC,G,FC,,0
Asking price,FS,FC,FS,,0
Assent to decree,FC,G,FC,,0
Assert,FC,G,FC,,0
Assessed value,FS,FC,FS,,0
Assessing the value of the property,FS,FC,FS,,0
Assessment,FS,FC,FS,,0
Assessor,FS,FC,FS,,0
Asset,FS,FS,FS,FS,1
Asset allocation,FS,FS,FS,FS,0
Assignee,FS,FC,FS,,0
Assignment,FS,FC,FS,,0
Assignment of mortgage,FS,FS,FS,FS,0
Assignor,FS,FC,FS,,0
Assisted living,FC,G,FC,,0
Assisted living facility,FC,G,FC,,0
Association for Conflict Resolution,G,G,FC,,0
Assumability,FS,FS,FS,FS,0
Assumable mortgage,FS,FS,FS,FS,0
Assumption,FS,FC,FS,,0
Assumption agreement,FS,FS,FS,FS,0
Assumption fee,FS,FS,FS,FS,0
"Attachment, attachment of assets",FS,FS,FS,FS,0
Attain priority,FC,G,FS,,0
Attest,FC,G,FC,,0
Attorney,FC,G,FC,G,1
Attorney-in-fact,FC,G,FC,FC,1
Authoritative,FC,G,FC,,0
Authorized third party,FC,FC,FS,,0
Auto insurance,FS,FS,FS,FS,0
Auto loan,FS,FS,FS,FS,0
Auto-pay,FS,FC,FS,,0
Automated Clearing House transfers,FS,FS,FS,FS,0
Automated Teller Machine,FS,FS,FS,FS,0
Automated Teller Machine transaction,FS,FS,FS,FS,0
Automated agent,FS,G,FS,,0
Automated underwriting,FS,FS,FS,FS,0
Automatic bill pay system,FS,FS,FS,FS,0
Automatic debit payment,FS,FS,FS,FS,0
Automatic mortgage payment,FS,FS,FS,FS,0
Autoridad Reguladora de la Industria Financiera,FS,FS,FS,FS,0
"Available for sale, AFS",FS,FC,FS,,0
Average,FC,G,FS,FC,1
Average price,FS,FC,FS,,0
Award letter,FC,G,FS,,0
Award of damages,FC,G,FC,,0
Awareness,FC,G,FC,,0
Back pay,FS,FC,FS,,0
Back-end ratio,FS,FS,FS,FS,0
Background,FC,G,FC,,0
Background check,FC,G,FC,,0
Balance,FS,FC,FS,FC,1
Balance calculation method,FS,FS,FS,FS,0
Balance inquiry,FS,FS,FS,FS,0
Balance inquiry fee,FS,FS,FS,FS,0
Balance sheet,FS,FS,FS,FS,0
Balance transfer fee,FS,FS,FS,FS,0
Balloon loan,FS,FS,FS,FS,0
Balloon mortgage,FS,FS,FS,FS,0
Balloon payment,FS,FS,FS,FS,0
Balloon rider,FS,FS,FS,FS,0
Bank,FS,FS,FS,FS,1
Bank Secrecy Act,FS,FS,FS,FS,0
Bank account,FS,FS,FS,FS,1
Bank accounts and services,FS,FS,FS,FS,0
Bank failure,FS,FS,FS,FS,0
Bank fees,FS,FS,FS,FS,1
"Bank run, deposit run, run on the bank",FS,FS,FS,FS,0
Bank statement,FS,FS,FS,FS,0
Banking desert,FS,FS,FS,FS,0
Bankruptcy,FS,FS,FS,FS,1
Bankruptcy discharge,FS,FS,FS,FS,0
Barred,FC,G,FC,,0
Base income,FS,FC,FS,,0
Basis point,FS,FS,FS,FS,0
Batas nina Dodd-Frank sa Reporma sa Wall Street,FS,FS,FS,FS,0
Be discriminated against,FC,G,FC,,0
Before-tax income,FS,FC,FS,,0
Beneficial interest,FS,FC,FS,,0
Beneficial owner,FS,FC,FS,FS,1
Beneficiary,FS,FC,FS,FS,1
Benefits card,FS,FC,FS,,0
Benefits office,FS,G,FS,,0
Big tech,FC,G,FC,,0
Bilingual program coordinator,G,G,FC,,0
Bill,FS,FC,FS,FS,1
Bill of sale,FS,FC,FS,,0
Bill payment fee,FS,FS,FS,FS,0
Billing cycle,FS,FC,FS,,0
Bitcoin,FS,FS,FS,FS,0
Biweekly mortgage,FS,FS,FS,FS,0
Biweekly payment,FS,FC,FS,,0
Biweekly payment rider,FS,FS,FS,FS,0
Blanket mortgage,FS,FS,FS,FS,0
Blended rate,FS,FS,FS,FS,0
Blockchain,FS,FS,FS,FS,0
Board rent,FS,FC,FS,,0
Boarder,FS,G,FS,,0
Boarder income,FS,FC,FS,,0
Bona fide,FS,G,FS,FS,1
Bond,FS,FS,FS,FS,1
Bonus,FS,FC,FS,FS,1
Borehole,FC,G,FC,,0
Borrow,FS,FS,FS,FS,1
Borrower,FS,FS,FS,FS,0
Borrower evaluation notice,FS,FS,FS,FS,0
Borrower relocation assistance,FS,FS,FS,FS,0
Borrower response package,FS,FS,FS,FS,0
Borrower solicitation letter,FS,FS,FS,FS,0
Borrower solicitation package,FS,FS,FS,FS,0
Borrower's promise to pay,FS,FS,FS,FS,0
Borrowing power,FS,FS,FS,FS,0
Bounced check,FS,FS,FS,FS,0
Breach letter,FS,G,FS,,0
Bridge loan,FS,FS,FS,FS,0
Broker,FS,FS,FS,FS,1
Broker account,FS,FS,FS,FS,0
Brokerage account,FS,FS,FS,FS,0
Broker’s price opinion,FS,FS,FS,FS,0
Budget,FS,FC,FS,FS,1
Building code,FC,G,FC,,0
Building code regulation,FC,G,FC,,0
Building inspection service,FC,G,FC,,0
Business day,FS,FC,FS,,0
Business deal,FS,FC,FS,,0
Business failure,FS,FC,FS,,0
"Buy Now, Pay Later",FS,FS,FS,FS,0
"Buy here, pay here auto loan",FS,FS,FS,FS,0
Buydown,FS,FS,FS,FS,0
Buyer,FS,FC,FS,FS,1
Buyer's agent,FS,FC,FS,,0
Buyer's market,FS,FC,FS,,0
Buying power,FS,FC,FS,,0
By certified mail,FS,G,FS,G,1
By-laws,FC,G,FC,,0
CFPB Divisions and Offices,FS,FS,FS,FS,0
Campaign sign,FC,G,FC,,0
Cancellation fee,FS,FC,FS,,0
Cancellation right,FS,FC,FS,,0
Cap,FS,FC,FS,,0
Capacity to pay your mortgage,FS,FS,FS,FS,0
Capital,FS,FS,FS,FS,1
Capital gains,FS,FS,FS,FS,1
Capital or liquidity stress test,FS,FS,FS,FS,0
"Capital, intereses, impuestos, seguros y cuotas",FS,FS,FS,FS,0
Capitalization,FS,FS,FS,FS,1
Capitalization of arrearages,FS,FS,FS,FS,0
Capitalize,FS,FS,FS,FS,1
Card holder agreement,FS,FS,FS,FS,0
Card provider,FS,FS,FS,FS,0
Case,FC,G,FS,FC,1
Case number,FC,G,FS,,0
Cash,FS,FC,FS,FS,1
Cash advance,FS,FS,FS,FS,0
Cash advance fee,FS,FS,FS,FS,0
Cash contribution,FS,FC,FS,,0
Cash deposit,FS,FS,FS,FS,0
Cash flow,FS,FS,FS,FS,1
Cash reload,FS,FS,FS,FS,0
Cash reload fee,FS,FS,FS,FS,0
Cash reserve,FS,FS,FS,FS,0
Cash to close,FS,FS,FS,FS,0
"Cash, cash on hand",FS,FC,FS,,0
Cash-out refinance,FS,FS,FS,FS,0
Ceiling,FC,FC,FS,,0
Cell,FC,G,FC,,0
Census tract,FS,G,FS,,0
Certificate of Deposit,FS,FS,FS,FS,0
Certificate of completion,FC,G,FS,,0
Certificate of eligibility,FS,G,FS,,0
Certificate of occupancy,FC,G,FS,,0
Certificate of reasonable value,FS,G,FS,,0
Certificate of veteran status,FS,G,FS,,0
Certified credit counselor,FS,FS,FS,FS,0
Chain of title,FS,FC,FS,,0
Change date,FS,G,FS,,0
Change frequency,FS,G,FS,,0
Change of circumstance,FS,G,FS,,0
Change order,FS,G,FS,,0
Charge,FS,FC,FS,,0
Charge card,FS,FS,FS,FS,0
Charge form,FS,FC,FS,,0
Charge off,FS,FS,FS,FS,0
Charging party,FC,G,FS,,0
Charity appeal,FC,G,FS,,0
Chattel,FS,FC,FS,,0
Check,FS,FC,FS,FS,1
Check register,FS,FC,FS,,0
Checkbook,FS,FC,FS,,0
Checking account,FS,FS,FS,FS,1
Checking account advance,FS,FS,FS,FS,0
Child support,FS,FC,FS,FS,1
Choice,FC,G,FS,FC,1
Circumstance,FC,G,FS,FC,1
Citizen,FC,G,FS,G,1
City tax,FS,FC,FS,,0
Civil Rights Act of 1964,FC,G,FC,,0
Civil Rights Division,FC,G,FC,,0
Civil Rights Division language access plan,FC,G,FC,,0
Civil money penalty,FS,FC,FS,,0
Civil penalty,FS,G,FS,,0
Civil union,FC,G,FC,,0
Claim,FS,FC,FS,FC,1
Claimant,FS,G,FS,,0
Class-action lawsuit,FS,G,FS,,0
Clause,FS,G,FS,FS,1
Clear title,FS,FC,FS,,0
Closed primary,FC,G,FS,,0
"Closed-end credit, closed-end credit",FS,FS,FS,FS,0
"Closed-end credit, closed-end credit transaction",FS,FS,FS,FS,0
Closing,FS,FC,FS,FS,1
Closing agent,FS,FC,FS,,0
Closing company,FS,FC,FS,,0
Closing cost assistance program,FS,FS,FS,FS,0
Closing costs,FS,FS,FS,FS,0
Closing date,FS,FC,FS,,0
Closing disclosure,FS,FS,FS,FS,0
Closing statement,FS,FS,FS,FS,0
Cloud on title,FS,FC,FS,,0
Co-applicant,FS,FC,FS,,0
Co-borrower,FS,FS,FS,FS,0
Co-debtor,FS,FS,FS,FS,0
Co-op apartment,FS,FC,FS,,0
Co-purchaser,FS,FC,FS,,0
Co-signer,FS,FS,FS,FS,0
Code of ethics,FC,G,FC,,0
Coerce,FC,G,FC,,0
Cognitive decline,FC,G,FC,,0
Collateral,FS,FS,FS,FS,0
Collection,FS,FC,FS,FC,1
College savings account,FS,FS,FS,FS,0
Combined loan-to-value,FS,FS,FS,FS,0
Commercial bank,FS,FS,FS,FS,0
Commercial lender,FS,FS,FS,FS,0
Commercial property,FS,FC,FS,,0
Commission,FS,FC,FS,FS,1
Commit waste,FC,G,FS,,0
Commitment,FS,FC,FS,FC,1
Commitment letter,FS,FC,FS,,0
Common area,FS,G,FS,,0
Common law,FC,G,FS,FC,1
Community Land Trust Mortgage Loan,FS,FS,FS,FS,0
Community Reinvestment Act of 1977,FS,FS,FS,FS,0
Community association,FS,G,FS,,0
Community association dues,FS,FC,FS,,0
Community group,FC,G,FS,,0
Community outreach,FC,G,FS,,0
Community property,FS,FC,FS,FS,1
Company,FS,G,FS,FC,1
Company response,FS,G,FS,,0
Comparative Market Analysis,FS,FC,FS,,0
Compensation,FS,FC,FS,FS,1
Complainant,FS,G,FS,,0
Complaint,FS,G,FS,,0
Complete borrower response package,FS,FS,FS,FS,0
Complete loss mitigation application,FS,FS,FS,FS,0
Compliance,FS,FC,FS,FC,1
Compliance date,FS,G,FS,,0
Compound interest,FS,FS,FS,FS,0
Comprehensive,FC,G,FS,,0
Computer and internet scams,FC,G,FS,,0
Concession,FS,FC,FS,,0
Conciliation,FS,G,FS,,0
Condemnation,FS,G,FS,,0
Condition,FC,G,FS,FC,1
Condominium,FS,FC,FS,,0
Condominium fee,FS,FC,FS,,0
Condominium owners’ association,FS,FS,FS,FS,0
Condominium project,FS,FC,FS,,0
Condominium rider,FS,FS,FS,FS,0
Confirmation code,FS,G,FS,,0
Confirmed successor in interest,FS,FC,FS,,0
Conformed copy,FS,G,FS,,0
Conforming loan,FS,FS,FS,FS,0
Consent decree,FS,G,FS,,0
Conservation,FC,G,FS,,0
Conservator,FS,G,FS,,0
Consortium of districts,FC,G,FS,,0
Construction loan,FS,FS,FS,FS,0
Constructive discharge,FS,G,FS,,0
Consumer,FS,FC,FS,,0
Consumer Credit Protection Act,FS,FS,FS,FS,0
Consumer Financial Protection Bureau,FS,FS,FS,FS,0
Consumer Leasing Act of 1976,FS,FS,FS,FS,0
Consumer behavior,FS,FC,FS,,0
Consumer complaint database,FS,FC,FS,,0
Consumer credit bureau,FS,FS,FS,FS,0
Consumer credit reporting company,FS,FS,FS,FS,0
Consumer debt,FS,FS,FS,FS,0
Consumer financial products and services,FS,FS,FS,FS,0
Consumer financial service,FS,FS,FS,FS,0
Consumer lender,FS,FS,FS,FS,0
Consumer loan,FS,FS,FS,FS,0
Consumer products,FS,FC,FS,,0
Consumer rights,FS,FC,FS,,0
Contest,FS,G,FS,,0
Contingency,FS,FC,FS,,0
Contingency clause of sale,FS,FC,FS,,0
Continuation sheet,FS,G,FS,,0
Continued presence,FS,G,FS,,0
Contract,FS,FC,FS,FC,1
Contractor,FS,FC,FS,FC,1
Conventional mortgage loan,FS,FS,FS,FS,0
Conversion,FS,FC,FS,FC,1
Conversion option,FS,FC,FS,,0
Convertible,FS,FC,FS,,0
Convertible adjustable-rate mortgage,FS,FS,FS,FS,0
Convey,FS,G,FS,,0
Conveyance,FS,G,FS,,0
Cooling system,FC,G,FS,,0
Cooling-off period,FS,FC,FS,,0
Cooperative,FS,FC,FS,,0
Cooperative maintenance fee,FS,FC,FS,,0
Cooperative project,FS,FC,FS,,0
Cooperative share,FS,FC,FS,,0
Cooperative share loan,FS,FS,FS,FS,0
Copy of signed offer letter,FS,G,FS,,0
Costs,FS,FC,FS,FS,1
"Counseling, guidance",FS,G,FS,,0
Counteroffer,FS,FC,FS,,0
County taxes,FS,FC,FS,,0
Court,FC,G,FS,FC,1
Court case,FC,G,FS,,0
Court proceeding,FC,G,FS,,0
Covenant,FS,FC,FS,FS,1
Covenants and agreements,FS,FC,FS,,0
Coverage,FS,FC,FS,FC,1
Coverdell education savings account,FS,FS,FS,FS,0
Credit,FS,FS,FS,FS,1
Credit analysis,FS,FS,FS,FS,0
Credit building,FS,FS,FS,FS,0
Credit card,FS,FS,FS,FS,1
Credit check,FS,FS,FS,FS,0
Credit counseling,FS,FS,FS,FS,0
Credit file,FS,FS,FS,FS,0
Credit history,FS,FS,FS,FS,0
Credit inquiry,FS,FS,FS,FS,0
Credit insurance,FS,FS,FS,FS,1
Credit life insurance,FS,FS,FS,FS,0
Credit mix,FS,FS,FS,FS,0
Credit rating,FS,FS,FS,FS,0
Credit rating system or model,FS,FS,FS,FS,0
Credit record,FS,FS,FS,FS,0
Credit repair,FS,FS,FS,FS,0
Credit report,FS,FS,FS,FS,0
Credit report authorization,FS,FS,FS,FS,0
Credit report dispute,FS,FS,FS,FS,0
Credit reporting company,FS,FS,FS,FS,0
Credit score,FS,FS,FS,FS,0
Credit tenant lease,FS,FS,FS,FS,0
Credit union,FS,FS,FS,FS,1
Credit utilization,FS,FS,FS,FS,0
Creditor,FS,FS,FS,FS,0
Creditworthy,FS,FS,FS,FS,0
Criminal justice,FC,G,FS,,0
Criminal section,FC,G,FS,,0
Crypto coins,FS,FS,FS,FS,0
Crypto tokens,FS,FS,FS,FS,0
Crypto-assets,FS,FS,FS,FS,0
Cryptocurrency,FS,FS,FS,FS,0
Current,FC,FC,FS,FC,1
Current index,FS,FS,FS,FS,0
Current monthly expense,FS,FC,FS,,0
Curtailment,FS,FS,FS,FS,0
Cushion,FS,FC,FS,,0
Customer education group,FS,G,FS,,0
Customer service,FS,G,FS,G,1
Customer service fee,FS,FC,FS,,0
Cut work hours,FS,G,FS,,0
Data broker,FS,FC,FS,,0
Data privacy,FS,G,FS,,0
Data sharing,FS,G,FS,,0
Date available,FS,G,FS,,0
Date issued,FS,G,FS,,0
Date of disbursement,FS,FC,FS,,0
Date of the first default,FS,FC,FS,,0
"DeFi, decentralized finance",FS,FS,FS,FS,0
Death,FC,G,FS,G,1
Death certificate,FS,G,FS,,0
Debit card,FS,FS,FS,FS,1
Debt,FS,FS,FS,FS,1
Debt balance,FS,FS,FS,FS,0
Debt collection,FS,FS,FS,FS,0
Debt collector,FS,FS,FS,FS,0
Debt default,FS,FS,FS,FS,0
Debt management,FS,FS,FS,FS,0
Debt management plan,FS,FS,FS,FS,0
Debt relief,FS,FS,FS,FS,1
Debt settlement,FS,FS,FS,FS,0
Debt settlement company,FS,FS,FS,FS,0
Debt-to-Income Ratio,FS,FS,FS,FS,0
Debtor,FS,FS,FS,FS,1
Decree,FS,G,FS,FS,1
Deductible,FS,FC,FS,FS,1
Deductible level,FS,FC,FS,,0
Deduction,FS,FC,FS,FS,1
Deed,FS,FC,FS,,0
Deed of trust,FS,FS,FS,FS,0
Deed-in-lieu of foreclosure,FS,FS,FS,FS,0
Default,FS,FS,FS,FS,0
Default judgment,FS,G,FS,,0
Defendant,FS,G,FS,,0
